benchmark,category,backend,value,theory,error_pct,tolerance_pct,n_iter,passed,unit
Patch Test (Element Level),element,numpy_q4_bbar,0.0010989010989010991,0.0010989010989010991,0.0,0.1,,True,N·mm
Patch Test (Element Level),element,numpy_q4_eas,0.0010989010989010991,0.0010989010989010991,0.0,0.1,,True,N·mm
Patch Test (Element Level),element,numpy_q4_corotational_eas,0.0010988973626025475,0.0010989010989010991,0.000340003168193938,0.1,,True,N·mm
Patch Test (Element Level),element,numpy_t3,0.0005494505494505497,0.0010989010989010991,1.9732479539236174e-14,0.1,,True,N·mm
Patch Test (Element Level),element,numba_q4_bbar,0.0010989010989010991,0.0010989010989010991,0.0,0.1,,True,N·mm
Patch Test (Element Level),element,numba_q4_eas,0.001098901098901099,0.0010989010989010991,1.9732479539236174e-14,0.1,,True,N·mm
Patch Test (Element Level),element,numba_q4_corotational_eas,0.0010989010963183582,0.0010989010989010991,2.3502941997113886e-07,0.1,,True,N·mm
Patch Test (Element Level),element,numba_q4_up,0.0010989010989010987,0.0010989010989010991,3.946495907847235e-14,0.1,,True,N·mm
Patch Test (Element Level),element,numba_q4_corotational,0.0010989010963183587,0.0010989010989010991,2.3502938050617978e-07,0.1,,True,N·mm
Patch Test (Element Level),element,numba_t3,0.0005494505494505497,0.0010989010989010991,1.9732479539236174e-14,0.1,,True,N·mm
Patch Test (Element Level),element,jax_t3,0.0005494505494505497,0.0010989010989010991,1.9732479539236174e-14,0.1,,True,N·mm
Patch Test (Element Level),element,jax_q4_bbar,0.001098901098901099,0.0010989010989010991,1.9732479539236174e-14,0.1,,True,N·mm
Patch Test (Element Level),element,jax_q4_eas,0.0010989010990203974,0.0010989010989010991,1.085613933818341e-08,0.1,,True,N·mm
Patch Test (Element Level),element,jax_q4_corotational_eas,0.0010989010990203984,0.0010989010989010991,1.0856238000581105e-08,0.1,,True,N·mm
Patch Test (Element Level),element,jax_q4_up,0.0010989010989010985,0.0010989010989010991,5.919743861770853e-14,0.1,,True,N·mm
Patch Test (Element Level),element,jax_q4_visco_fs,0.0010989010989010985,0.0010989010989010991,5.919743861770853e-14,0.1,,True,N·mm
Patch Test (Element Level),element,jax_q4_simo_fs,0.001098901098901097,0.0010989010989010991,1.9732479539236176e-13,0.1,,True,N·mm
Patch Test (Element Level),element,numpy_q4_bbar_strain,0.0,0.0010989010989010991,0.0,0.1,,True,N·mm
"Patch Test (Solver Level, Irregular Mesh)",solver,jax,3.7399304064947185e-11,0.0,3.7399304064947185e-11,0.001,1,True,%
"Patch Test (Solver Level, Irregular Mesh)",solver,numpy_sequential,2.397842773780416e-11,0.0,2.397842773780416e-11,0.001,1,True,%
3-Point Bending,solver,jax,0.00023697937112157584,0.00023529999999999997,0.7137148837976466,5.0,1,True,mm
3-Point Bending,solver,numpy_sequential,0.00024669654544795793,0.00023529999999999997,4.843410730113879,5.0,1,True,mm
4-Point Bending,solver,jax,0.0003221427397832046,0.0003167125,1.714564402480053,5.0,1,True,mm
4-Point Bending,solver,numpy_sequential,0.0003285293359289316,0.0003167125,3.73109237208244,5.0,1,True,mm
2-Point Bending (Gulati Elastica),solver,jax,319.42618068724255,457.4445312490537,30.171603578897667,5.0,26,False,MPa
2-Point Bending (Gulati Elastica),solver,numba,319.42618068724255,457.4445312490537,30.171603578897667,5.0,26,False,MPa
1-Layer Teardrop Folding Verification,solver,teardrop_1layer,142.0,142.0,0.0,1.0,,True,elems
Cantilever Bending,solver,jax,0.003732732921418865,0.0036711999999999995,1.6760983171405994,5.0,1,True,mm
Cantilever Bending,solver,numpy_sequential,0.003841984784189925,0.0036711999999999995,4.652015259041335,5.0,1,True,mm
Uniaxial Tension (Plane Strain),solver,jax,1.0990170378061026,1.098901098901099,0.010550440355328481,1.0,1,True,MPa
Uniaxial Tension (Plane Strain),solver,numpy_sequential,1.099017037806199,1.098901098901099,0.010550440364097913,1.0,1,True,MPa
Uniaxial Compression (Plane Strain),solver,jax,-1.0987849228695508,-1.098901098901099,0.0105720188708891,1.0,1,True,MPa
Uniaxial Compression (Plane Strain),solver,numpy_sequential,-1.0987849228694453,-1.098901098901099,0.010572018880486977,1.0,1,True,MPa
Volumetric Compression (Plane Strain),solver,jax,-0.9615384615384616,-0.9615384615384616,0.0,1.0,1,True,MPa
Volumetric Compression (Plane Strain),solver,numpy_sequential,-0.9615384615384612,-0.9615384615384616,3.4638958368304884e-14,1.0,1,True,MPa
Volumetric Tension (Plane Strain),solver,jax,0.9615384615384616,0.9615384615384616,0.0,1.0,1,True,MPa
Volumetric Tension (Plane Strain),solver,numpy_sequential,0.9615384615384616,0.9615384615384616,0.0,1.0,1,True,MPa
Convergence Cantilever Mesh (Q4 B-bar),solver,order_fit,4.471560358413383,2.5,78.86241433653531,2.5,,True,
Convergence Elastica Mesh (Corotational),solver,order_fit,2.7423764718579733,2.7,1.5694989577027076,0.5,,True,
Convergence Elastica Load-Step (Corotational),solver,order_fit,2.3938503636393476,2.4,0.2562348483605148,0.5,,True,
